,Income,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,NumDealsPurchases,Complain,Total_Offsprings,Family_Size,Days_since_enrollment,Age,Total_Amount,Frequency,Total_purchases,cluster,ID,Education,Living_With
0,2.621011731088529,2.6445205619032683,3.312186508419967,3.883381004866269,4.024121556122852,4.788339423347077,3.818748064761429,3.1840409084781367,2.6864955791288763,2.236573295278567,1.0699201826570324,0.5762544040474584,3.863289484158731,3.3204235787003618,4.009418732242767,3.449016008844124,3.644880783350982,1,5524,Graduate,Alone
1,2.0730005915966467,1.9535089182264127,1.462032504576814,1.6970695803064892,1.6162120357701817,1.6832292072925563,1.7003268704580117,1.601364217550025,2.16657905409441,2.236573295278567,3.739929444462023,2.7845387336497502,1.1463413707813417,3.570751229033044,1.371680588372309,1.8274347021965225,1.1461450459877132,2,2174,Graduate,Alone
2,3.247130953121183,1.5389019320202992,2.692503516748142,2.9033103662705058,2.155762131997354,3.6741528164098662,2.187320248458797,2.296197886737976,1.646662529059944,2.236573295278567,1.0699201826570324,1.6803965688486042,2.129382597257888,2.6528831778132096,2.614237739164116,1.8274347021965225,3.367243479199508,1,4141,Graduate,Partner
3,1.1577281288434584,1.5389019320202992,1.462032504576814,1.7724596294292403,1.6786393196311766,1.82935204098924,1.74902620825809,1.5820632822948042,2.16657905409441,2.236573295278567,2.404924813559527,2.7845387336497502,1.274778917959182,1.0674747257062231,1.4148134133664172,1.8274347021965225,1.4237823501391875,2,6182,Graduate,Partner
4,2.6282138445887195,3.888341520521609,1.942360947882248,2.752530268025004,2.115630306658143,2.486904792624314,2.3334182618590327,1.775072634847013,3.726328629197808,2.236573295278567,2.404924813559527,2.7845387336497502,1.3834568424942777,1.317802376038905,2.02696773732126,1.8274347021965225,2.5343315667450845,2,5324,Postgraduate,Partner
5,2.824297192787443,1.1933961101818715,2.9712126134809247,2.7274002516507534,2.0264484725710066,1.6466984988683857,2.698663295359622,1.755771699591792,2.16657905409441,2.236573295278567,2.404924813559527,2.7845387336497502,2.0355243897048507,2.485998077591421,2.514700450716174,1.8274347021965225,3.367243479199508,0,7446,Postgraduate,Partner
6,2.5047092143725567,1.8153065894910416,2.1261903521102536,3.3053906282585115,2.3207485250585558,2.5599662094726563,2.869110977659897,2.006683857909663,3.206412104163342,2.236573295278567,2.404924813559527,1.6803965688486042,3.517496087910699,2.1522278771478454,2.3056721449754964,1.8274347021965225,2.950787522972296,0,965,Graduate,Alone
7,1.474063539871162,1.746205425123356,1.6547568799771426,1.9232397276747424,1.8391666209880213,1.7014945615046415,1.7003268704580117,1.92948011688878,2.16657905409441,2.236573295278567,2.404924813559527,2.7845387336497502,2.648072691629934,0.984032175595329,1.607252171032438,1.8274347021965225,1.7014196542906617,2,6177,Postgraduate,Partner
8,1.3298818741221954,1.2970478567333998,1.470927475749137,1.671939563932239,1.696475686448604,1.7014945615046415,1.74902620825809,1.5241604765291417,1.646662529059944,2.236573295278567,2.404924813559527,2.7845387336497502,2.504815427470036,1.9019002268151632,1.4032007297141575,3.449016008844124,1.2849636980634502,2,4855,Postgraduate,Partner
9,0.1820508431854497,2.9900263837416965,1.512437341219977,1.671939563932239,1.6162120357701817,1.664963853080471,1.7003268704580117,1.736470764336571,1.646662529059944,2.236573295278567,3.739929444462023,3.888680898450896,1.1216418424779109,3.90452142947662,1.4081775941365544,2.6382253555203232,0.7296890897605017,2,5899,Postgraduate,Partner
10,0.2681044832006241,2.679071144087111,1.4472075526229429,2.0740198259202445,1.6385074942919655,1.847617395201325,1.7003268704580117,1.7943735701022336,1.646662529059944,2.236573295278567,1.0699201826570324,1.6803965688486042,3.517496087910699,1.735015126593375,1.4280850518261428,1.8274347021965225,1.2849636980634502,2,1994,Undergraduate,Partner
